seed,arm,inventory_sigma,max_drawdown,fills,final_pnl,t_stat,max_abs_inventory,quote_crossings
281,as,41.002257059825375,-3353.6232804823776,321.0,2654.283066913564,0.6764954052861789,100.0,0.0
282,fixed,43.03684438942985,-5457.897811371784,588.0,133.71356758293223,0.03896332492469444,100.0,0.0
282,spread_matched,43.99323761670651,-5671.405289983699,381.0,615.25053446792,0.167424482439227,100.0,0.0
282,skew_only,43.96025658478349,-3883.589379151981,597.0,2702.1152248151698,0.8373804270187989,100.0,0.0
282,as,42.25499117264137,-5136.514932312348,383.0,1652.5943116714789,0.46486867023786566,100.0,0.0
283,fixed,41.02279413935623,-11516.355460425953,594.0,3454.7892321730296,0.29871204122354456,100.0,0.0
283,spread_matched,51.25213814076443,-9326.4408800762,382.0,371.81424512975855,0.03623866067447955,100.0,0.0
283,skew_only,43.02522962169987,-11177.048035309635,604.0,2899.5835227108337,0.2754356648146355,100.0,0.0
283,as,44.33686502223629,-7836.486766673642,396.0,769.2430613627917,0.08381259985263365,100.0,0.0
284,fixed,58.33034694736523,-67356.12439452618,588.0,9040.319271697597,0.1439903549406101,100.0,0.0
284,spread_matched,61.17555063912379,-63153.054832123045,391.0,19930.40462582508,0.32782352949888294,100.0,0.0
284,skew_only,49.611161556649726,-55071.82811211687,604.0,15799.593993668444,0.290299179044069,100.0,0.0
284,as,56.01926339215824,-58195.07866536315,391.0,20788.84211094099,0.3512572697678675,100.0,0.0
285,fixed,58.380849462816144,-4751.423940573247,564.0,5046.408157823191,0.676869705622788,100.0,0.0
285,spread_matched,55.38190664829084,-5657.968766637041,346.0,2802.4346156304496,0.38851074737401564,100.0,0.0
285,skew_only,48.648299363903774,-4576.934428687888,578.0,2298.3331571518006,0.41781775052747194,100.0,0.0
285,as,55.080064188415754,-6608.459517693694,354.0,2012.463486571891,0.27286720693218086,100.0,0.0
286,fixed,63.63723783289152,-3005.3744447429744,506.0,10083.476065546876,1.8413363152174669,100.0,0.0
286,spread_matched,62.74245859862363,-3259.7492816561535,335.0,7427.906153301261,1.753994672051392,100.0,0.0
286,skew_only,58.457418477041905,-2936.7837408317,534.0,10074.348132365465,1.9819280435412256,100.0,0.0
286,as,57.00122016237898,-2113.1065264686886,343.0,5506.257555793465,1.6653349404104612,100.0,0.0
287,fixed,29.272583691912132,-9944.308464977652,562.0,6283.950859476709,0.5699059578432872,100.0,0.0
287,spread_matched,30.90875020119707,-8871.633396393077,339.0,7674.182157084702,0.6214684591469775,100.0,0.0
287,skew_only,32.81039371906408,-7654.360659515686,584.0,8254.7198949901,0.9052506338630385,100.0,0.0
287,as,35.35242451374446,-7490.7853256781,355.0,6157.548133603359,0.6227815319376898,100.0,0.0
288,fixed,48.02390067455996,-5254.914188810304,570.0,5450.987985165173,0.6365182261975317,100.0,0.0
288,spread_matched,51.32170565170257,-3190.693777595233,357.0,7968.947519009732,1.2145722482025079,100.0,0.0
288,skew_only,47.2147548865818,-5183.718625318799,584.0,2031.5847898089921,0.26672109503708125,100.0,0.0
288,as,47.1163902585926,-2221.9914283626103,365.0,6899.910147303223,1.3419703036549204,100.0,0.0
289,fixed,50.37018482197579,-41876.27885277367,582.0,14302.713229595327,0.5000674596385678,100.0,0.0
289,spread_matched,46.77695667740688,-23100.18284147171,378.0,-10090.265420539556,-0.5751555051344138,100.0,0.0
289,skew_only,39.92501992485414,-24015.721141348316,589.0,14226.053271230801,0.7020149077498565,100.0,0.0
289,as,40.59281925414888,-21404.74326117913,376.0,-5140.406471094586,-0.26566862549359005,100.0,0.0
290,fixed,57.073813601335594,-27987.811816988782,592.0,-21453.380247051195,-0.8402978634894581,100.0,0.0
290,spread_matched,59.64952975506178,-25004.530133306303,363.0,-17493.349201328718,-0.7022441072542058,100.0,0.0
290,skew_only,43.12174800492206,-32427.541241364637,600.0,-21808.679118852433,-1.091941856836131,100.0,0.0
290,as,50.0597155305541,-23680.301442014494,375.0,-13127.359204194674,-0.647742653524698,100.0,0.0
291,fixed,57.00693500794443,-14716.323921433359,552.0,-3136.9184469811944,-0.16480258454991306,100.0,0.0
291,spread_matched,62.6561082417349,-12670.46776801919,347.0,19388.94442818935,1.0222948635714142,100.0,0.0
291,skew_only,46.72841687881155,-10970.97888465599,580.0,1364.110842965627,0.08421702375684545,100.0,0.0
291,as,60.71579233609655,-11999.636058563243,351.0,20112.710495555893,1.0938343171762936,100.0,0.0
292,fixed,55.08594317972599,-5610.0771268064955,581.0,6407.1550206796865,1.0069649915594892,100.0,0.0
292,spread_matched,49.083573535348876,-4429.020757859522,365.0,5421.199190917455,1.1104974239130763,100.0,0.0
292,skew_only,47.90832228329437,-4297.728925685047,588.0,7089.991386095627,1.2874913759252196,100.0,0.0
292,as,45.968515138081194,-4590.843413526483,369.0,5283.101180465213,1.1788906621663218,100.0,0.0
293,fixed,45.63378826045455,-4278.724723496596,542.0,-1030.4019236537445,-0.3031678162410803,100.0,0.0
293,spread_matched,41.92514728656299,-2072.465133821017,336.0,6152.945494636287,1.8837280726897165,100.0,0.0
293,skew_only,41.92489279652364,-2388.732695795963,544.0,1162.569839960533,0.43574828622021455,100.0,0.0
293,as,39.18371823857455,-1874.3410633699566,344.0,5007.963276364594,1.7410266322920165,100.0,0.0
294,fixed,57.784209573204336,-5441.528673750113,588.0,-2118.713102746082,-0.4898098545935259,100.0,0.0
294,spread_matched,51.40317460040771,-3752.4862375306657,394.0,2831.328203209201,0.5909049872769697,100.0,0.0
294,skew_only,48.76580785755528,-3011.3155878623097,600.0,38.54583324333407,0.013168634076869011,100.0,0.0
294,as,45.16169168664965,-3470.7514894528167,396.0,-387.63363029393554,-0.12264813252311647,100.0,0.0
295,fixed,56.507631201458096,-6382.494466756964,572.0,5498.718324511239,0.6252862677806611,100.0,0.0
295,spread_matched,42.714800701864455,-4160.24852547363,349.0,8301.196954884683,1.229185412522388,100.0,0.0
295,skew_only,44.93319235264728,-5568.708317731152,590.0,1925.908988758647,0.2617117266763611,100.0,0.0
295,as,32.58787613515186,-3939.5672010881185,352.0,7363.753408156769,1.2988670534001676,90.0,0.0
296,fixed,38.897607522828444,-13442.953136216687,592.0,-1754.5149032094332,-0.14898044325029408,100.0,0.0
296,spread_matched,50.211619531737874,-9052.87489113866,372.0,-434.9254974162686,-0.049581167111420237,100.0,0.0
296,skew_only,45.093923925513515,-10076.929409927008,600.0,-8094.328610301268,-0.9925449403473943,100.0,0.0
296,as,40.42317968690736,-4029.2904148410885,370.0,4920.856726494484,0.9609020682670387,100.0,0.0
297,fixed,41.49796658873781,-27308.91582069408,536.0,-18840.975625688377,-1.202252011545656,100.0,0.0
297,spread_matched,27.674443878784633,-15411.845261958064,323.0,-1245.3329756104022,-0.06587031788088361,100.0,0.0
297,skew_only,38.48485934754082,-28125.033598458416,542.0,-19106.537408409706,-1.2302304447569161,100.0,0.0
297,as,28.901888588810248,-10518.992605653995,339.0,-3072.4410767623185,-0.21371296997922323,100.0,0.0
298,fixed,37.79017754655302,-17326.059179201697,526.0,725.2071493140961,0.04153387129590673,100.0,0.0
298,spread_matched,38.7528769383642,-18908.191715422956,326.0,9408.90575404837,0.41604133119907444,100.0,0.0
298,skew_only,35.6803637733698,-9670.65553637685,545.0,6533.943004802467,0.5098881049822332,100.0,0.0
298,as,41.60904089257526,-13368.744891097092,346.0,11837.705888853989,0.7021820939234729,100.0,0.0
299,fixed,64.99002981227197,-31548.31672614473,530.0,13514.737806653851,0.35360281051790954,100.0,0.0
299,spread_matched,63.26684059600258,-29477.0300486887,344.0,13459.416804458611,0.3305068408779242,100.0,0.0
299,skew_only,60.17035681296896,-31548.34022614472,558.0,615.1421410901821,0.015898603890132132,100.0,0.0
299,as,59.75145584837243,-29477.06286168871,356.0,7271.190053053695,0.1788655372403585,100.0,0.0
300,fixed,33.84015246715062,-23590.87982343488,550.0,-13596.283044509812,-0.6210707989929006,100.0,0.0
300,spread_matched,39.646033042411695,-21360.65616279142,354.0,-7281.9086255415805,-0.3712655599109427,100.0,0.0
300,skew_only,44.561149177282225,-22490.89557520819,564.0,-9853.103490467784,-0.5631950692496499,100.0,0.0
300,as,38.58717143041195,-19846.380757540384,362.0,-4958.248976777224,-0.31037595750038344,100.0,0.0
301,fixed,43.56842057040856,-48116.35670351188,560.0,-46214.58385546481,-1.7915226984956683,100.0,0.0
301,spread_matched,41.41749852417454,-38307.084683643414,348.0,-29943.929535469448,-1.6900836966475759,100.0,0.0
301,skew_only,46.4936812911174,-44691.54512909257,575.0,-42471.907926664186,-1.9022619136903698,100.0,0.0
301,as,34.19332143854996,-40690.890591196905,355.0,-26600.167228850933,-1.4728311524652826,100.0,0.0
302,fixed,41.73770745980186,-22620.90302283864,582.0,-15605.395058965129,-0.6697442863780076,100.0,0.0
302,spread_matched,41.06778590330869,-27105.073176824826,345.0,-11291.814578135316,-0.47366806590658334,100.0,0.0
302,skew_only,41.020599703076016,-20657.930760167284,588.0,-10978.143877793333,-0.453401694450966,100.0,0.0
302,as,41.58416044601598,-27105.095772524834,350.0,-13456.554320490659,-0.5846438663254808,100.0,0.0
303,fixed,45.246067221361905,-8240.33614546524,554.0,131.1791692510834,0.03293999306430896,100.0,0.0
303,spread_matched,46.53224016743659,-8517.48301001176,329.0,-3191.0639523476316,-0.7557983720508741,100.0,0.0
303,skew_only,46.17290840958581,-8251.981201887953,566.0,426.35681677806514,0.10777506104309491,100.0,0.0
303,as,45.358285141746705,-8206.45681859813,338.0,-2159.4981146367663,-0.5631303592479273,100.0,0.0
304,fixed,41.53418099589782,-25843.23064652858,490.0,-8377.901399107683,-0.6100254272182519,100.0,0.0
304,spread_matched,37.6350436561458,-28452.839798872214,289.0,-12618.936247448548,-0.6982411534791552,100.0,0.0
304,skew_only,41.4235776339997,-21492.80908191213,498.0,-5843.935253994195,-0.5016693327389595,100.0,0.0
304,as,40.93095645107746,-27163.792318149954,292.0,-13080.434564835095,-0.7739861836600881,100.0,0.0
305,fixed,45.45287423254991,-21008.02938783197,566.0,14959.43529681992,0.5264129612893564,100.0,0.0
305,spread_matched,33.29539894640099,-57703.55843886467,344.0,2152.039810231759,0.04484088516699066,100.0,0.0
305,skew_only,37.43363427453979,-24792.523419052184,570.0,-7757.641786754948,-0.2726641638543132,100.0,0.0
305,as,36.19137527091227,-44637.11941862744,353.0,4113.71020556357,0.10193959489332756,100.0,0.0
306,fixed,52.459574902966956,-24268.67206114317,595.0,-8174.223038801785,-0.66247560395037,100.0,0.0
306,spread_matched,42.54200070518546,-17272.51667269905,362.0,-808.8673654584809,-0.07871794186478717,100.0,0.0
306,skew_only,44.134340722389865,-19165.129098153113,605.0,-8053.286606158614,-0.8243176623320474,100.0,0.0
306,as,33.50202941614135,-8583.092773986227,375.0,-6280.458154826871,-1.139401683202529,100.0,0.0
307,fixed,62.37997960884566,-8818.467749952246,533.0,-1717.1698500016573,-0.1924291118180261,100.0,0.0
307,spread_matched,57.15245855604114,-8094.563464261266,347.0,-2053.673007900905,-0.26711159359964665,100.0,0.0
307,skew_only,54.769536642188235,-8380.618667407849,553.0,-1825.582749450181,-0.22395950973338252,100.0,0.0
307,as,48.56107923018186,-8662.735882864661,353.0,-3300.6940949723175,-0.4855004497853013,100.0,0.0
308,fixed,65.36050278264389,-20016.120789068482,537.0,4795.35847713596,0.27234441298439904,100.0,0.0
308,spread_matched,56.73328926653205,-19653.226482870006,339.0,8131.207062264338,0.4571890240465205,100.0,0.0
308,skew_only,56.156187584272494,-18781.593891278673,548.0,2419.2042551751556,0.16309044861779276,100.0,0.0
308,as,48.367686692667036,-19822.499350542777,339.0,2906.927559795835,0.18327153927072348,100.0,0.0
309,fixed,52.33591759967528,-9985.178228462402,539.0,-8264.72157578346,-1.44386733123963,100.0,0.0
309,spread_matched,58.81164441673094,-10148.528417575937,333.0,-4942.306051053594,-0.8038455563908505,100.0,0.0
309,skew_only,48.67002773781827,-8439.676241538817,551.0,-7324.17482487899,-1.6101403327643506,100.0,0.0
309,as,50.99549955633339,-8315.898358246977,348.0,-4860.205710260072,-0.9539048060256794,100.0,0.0
310,fixed,35.90307931083349,-2575.567212713473,562.0,187.86630385963988,0.06288583107807329,100.0,0.0
310,spread_matched,38.01993498153304,-1323.6161243835022,373.0,3003.6865995022526,1.4227009110585234,90.0,0.0
310,skew_only,36.06865884670513,-2103.106356564827,574.0,178.87523880907452,0.07130280455794177,100.0,0.0
310,as,32.51990750294349,-1266.6766474039646,377.0,1364.2958529518846,0.7702258113803623,100.0,0.0
311,fixed,45.82300207319464,-4350.232584441921,582.0,3251.61493573411,0.696194615671355,100.0,0.0
311,spread_matched,61.728915226172575,-2830.66440378848,342.0,9044.715226643384,1.624091297511221,100.0,0.0
311,skew_only,41.29467363958698,-3531.19001559431,598.0,1525.1788488464297,0.39608479022490045,100.0,0.0
311,as,51.4298410555584,-3143.8247230862025,350.0,6723.9130385565595,1.4503547154905683,100.0,0.0
312,fixed,59.695619805811546,-17542.19059161723,539.0,3700.230814109068,0.25475405243216426,100.0,0.0
312,spread_matched,49.6254772873773,-8934.557251992097,336.0,508.2153134993034,0.07320932647743215,100.0,0.0
312,skew_only,49.532111917421815,-9241.892105680701,551.0,11888.38900394845,1.0242870421166943,100.0,0.0
312,as,44.68067903467896,-8380.085678691361,334.0,1804.5074287984155,0.26300725367368866,100.0,0.0
313,fixed,38.36882316412637,-4564.708928368508,558.0,5111.893474362802,0.7245719114097128,100.0,0.0
313,spread_matched,42.97819948532046,-6351.324074398518,336.0,6046.136509382637,0.6334532063613032,100.0,0.0
313,skew_only,38.508731425483234,-6626.701428922535,577.0,1687.4185847901126,0.2272007368718419,100.0,0.0
313,as,41.426772744204925,-6351.327604298518,340.0,8591.72672771369,0.8372279789498909,100.0,0.0
314,fixed,56.49811179145724,-23843.434637693637,568.0,-11120.219441036148,-1.2592828197019792,100.0,0.0
314,spread_matched,50.24602446960356,-7077.426782167551,358.0,-1982.2331229210213,-0.32634407350620676,100.0,0.0
314,skew_only,49.20236123398957,-17003.746542015662,580.0,-8144.731400315643,-1.1664972404961997,100.0,0.0
314,as,45.22170058721808,-10986.514438069287,363.0,-5306.561821104433,-0.7738683685653696,100.0,0.0
315,fixed,49.858099031150395,-51666.36175091089,554.0,-848.721122865606,-0.02500884600610444,100.0,0.0
315,spread_matched,35.81647799547019,-51795.56630012066,364.0,-39190.39066322002,-1.37346205656775,100.0,0.0
315,skew_only,45.690206554577976,-54700.3747718491,569.0,4703.056492236724,0.1312855199227776,100.0,0.0
315,as,35.722486349636974,-50506.48311722238,366.0,-39176.113921431686,-1.4137674018141342,100.0,0.0
316,fixed,45.09611845824428,-520254.23949959036,522.0,-173784.53380646094,-0.640550470490741,100.0,0.0
316,spread_matched,36.0535032971832,-464756.5029136363,328.0,-41921.47018587007,-0.15634751959768373,100.0,0.0
316,skew_only,45.79187647388999,-499608.5760623593,537.0,-189631.24429005248,-0.7209654188551934,100.0,0.0
316,as,40.99532222095589,-454989.45095259044,341.0,-145955.84885213114,-0.6068402315285194,100.0,0.0
317,fixed,39.90936251056887,-5255.152480570818,509.0,-3667.422741245929,-1.074445152639348,100.0,0.0
317,spread_matched,31.99321288961145,-6098.27026297625,320.0,-3132.635789221065,-0.6580015049065178,100.0,0.0
